sampleID,sex,sample_type,weight,coat_appearance,left_ventricle_diameter,heart_rate,cardiac_output
193843,male,control,22.5,normal,3.382292,480.48047,20.87946
194834,male,control,25.2,normal,3.544531,451.41064,19.616732
195475,male,control,28.4,abnormal,3.408854,473.13947,21.791084
195576,male,control,26.6,normal,3.045833,479.52048,22.520672
196744,female,control,19.7,normal,3.160938,463.09695,16.34656
198914,female,control,22.7,normal,3.258333,487.4746,17.585663
199019,female,control,20.8,normal,3.267187,470.20407,15.490714
199021,female,control,20.3,normal,3.311458,409.78943,15.279229
199023,female,control,20.8,normal,2.650781,460.0639,16.727901
199407,female,control,20.2,normal,3.019271,395.38715,13.739337
199508,male,control,24.4,normal,3.019271,439.7618,20.727938
200034,male,control,22.6,normal,3.178646,441.24405,18.108126
200263,female,control,18.9,normal,2.939583,486.32217,17.818
201499,male,control,24.7,normal,2.939583,444.9938,19.359154
201946,male,control,25.2,normal,3.160938,502.09204,22.33028
201953,male,control,25.8,normal,3.054688,446.58087,21.795273
201957,female,control,21.1,normal,3.196354,442.12466,15.401329
202044,male,control,25,normal,3.276042,535.316,22.586748
202048,female,control,18.1,normal,2.86875,488.46677,16.635918
202586,female,control,20.4,normal,3.001562,506.68542,18.146248
202612,female,control,18.6,normal,2.904167,457.79684,15.566505
204012,female,control,20.3,normal,2.939583,492.98184,17.849539
204873,female,control,21,normal,3.028125,500.52136,21.979788
205678,male,control,22.3,normal,2.780208,509.1938,21.743504
206908,female,control,19.9,normal,3.010417,470.28085,20.381182
207425,male,control,23.8,normal,3.568229,453.11517,20.810009
208993,male,control,24.1,normal,2.797917,472.75116,17.150793
209002,male,control,24,normal,3.199219,497.83923,19.695103
209484,male,control,26.7,abnormal,3.054688,496.46613,19.748247
210636,male,control,23.2,normal,3.544531,491.2161,23.024649
211130,male,control,22.1,normal,2.673958,437.22482,18.61734
211134,female,control,19.2,normal,2.647396,506.953,18.570831
212504,female,control,18.3,normal,2.647396,511.0914,20.624634
212786,male,control,23.6,normal,2.434896,454.9763,20.620539
213497,female,control,20.1,normal,3.656771,534.0256,18.793242
213841,male,control,25.5,abnormal,3.503906,504.82034,22.563791
213844,female,control,18.6,normal,3.143229,469.43765,16.11628
213847,female,control,20.6,normal,2.877604,439.29224,16.310226
213881,male,control,23.3,normal,3.054687,463.17145,19.202208
213899,male,control,21.9,normal,2.824479,498.2699,18.89084
213927,female,control,20.7,normal,3.258333,471.89908,21.106068
214028,female,control,20.8,normal,3.072396,486.32217,19.665289
214638,male,control,23.2,normal,2.966146,468.44504,16.858513
215081,female,control,20,normal,3.045833,503.58453,21.08059
215251,male,control,25.8,normal,3.302604,433.53906,21.433867
215267,female,control,20,normal,2.824479,513.91864,19.633186
216010,female,control,20.9,normal,2.709375,465.5674,21.453482
216043,female,control,19.6,normal,2.55,518.172,16.788948
216889,male,control,22.3,abnormal,3.07125,466.1703,23.450035
217008,female,control,20.4,normal,2.773125,431.52533,17.238417
217024,male,control,23.1,normal,2.65625,484.76688,16.107965
217049,male,control,25.7,abnormal,2.815625,502.9689,22.213404
217056,female,control,17.4,normal,2.496875,448.03983,18.950209
217267,female,control,19,normal,2.842188,446.2349,12.595892
218734,male,control,22.1,normal,2.669062,385.85208,15.642092
218738,female,control,18.4,normal,3.018,432,17.015
218742,female,control,20.5,normal,3.010417,436.09933,18.831451
219168,female,control,20.9,normal,2.718229,480.9619,21.273306
219189,male,control,21.7,normal,3.169792,404.0971,18.225431
219570,female,control,19.6,normal,3.045833,531.56146,22.680109
219869,female,control,20,normal,3.488542,403.92706,15.605973
220526,female,control,15.5,normal,2.248958,423.96585,13.817448
220557,male,control,24,normal,3.178906,420.1926,19.373901
221348,male,control,24.6,normal,2.65625,529.8988,19.094788
222661,male,control,22.5,normal,3.107813,413.6148,15.31798
223076,female,control,19,normal,3.178906,481.44434,21.713627
223555,female,control,20.2,normal,3.152083,518.732,20.85847
224186,male,control,24.9,normal,3.371875,408.33688,14.989888
225812,female,control,21.7,normal,2.665104,504.90884,23.192251
225888,female,control,20.3,normal,2.975,478.72342,15.792221
226447,male,control,15.6,normal,2.665104,461.16895,16.40863
226487,female,control,21.5,normal,3.097656,503.14465,20.388144
226697,male,control,24.8,normal,2.884375,439.96335,22.574144
227688,female,control,19.8,normal,3.252174,485.09348,21.34786
227701,female,control,19.2,normal,2.771739,593.2029,21.26836
227909,female,control,19.7,normal,3.113587,432.75732,16.779945
229020,male,control,25.8,abnormal,3.550272,417.3308,22.244295
229549,male,control,20.9,normal,3.048913,462.9481,18.111607
230802,female,control,19.5,normal,2.919565,520.41925,17.23275
230859,female,control,20.1,normal,2.540761,539.8313,18.10696
230862,female,control,20.6,normal,2.688587,456.49072,16.506718
230863,female,control,22.4,normal,2.850815,479.76013,19.351519
232050,male,control,24,normal,2.901087,543.704,21.689863
232363,female,control,20.4,normal,3.095109,483.6272,21.441086
232642,male,control,24.6,normal,2.642391,503.23257,18.36589
233656,male,control,25.1,normal,3.08587,492.72882,21.008587
234371,female,control,19.7,normal,2.992708,407.0004,15.613815
234458,male,control,23.9,abnormal,3.524219,520.99615,21.018995
235470,female,control,22.4,normal,3.291,460,19.197
237105,male,control,26.2,normal,3.31712,407.0096,20.78598
237531,female,control,18.8,normal,2.532292,480.89767,14.976723
240987,male,control,23.3,normal,2.925,458.6595,17.517057
241420,male,control,24.6,normal,3.077344,485.395,21.616133
241960,female,control,20.7,normal,3.432812,467.77548,19.942726
244302,female,control,20.3,normal,3.152,451,20.74
244603,female,control,18.4,normal,2.541146,530.50397,20.334461
245301,male,control,23.8,normal,2.735937,483.35123,20.01161
245402,female,control,20.7,normal,3.222917,433.77676,15.961986
246447,female,control,20.5,normal,3.125521,588.72784,25.016594
246654,male,control,23.2,normal,3.727344,419.131,18.036669
248215,male,control,22.8,normal,2.904167,417.19202,19.246672
248907,male,control,22.9,normal,3.25,439.56042,23.68639
248911,female,control,21.3,normal,2.886458,481.14963,21.01384
251419,male,control,23.2,normal,2.895313,515.104,25.335365
251530,female,control,19,normal,2.797917,536.2122,22.018932
254111,male,control,21.3,normal,2.576563,461.15063,16.491335
255613,female,control,23.1,normal,2.700521,555.9124,21.471596
255634,male,control,26,abnormal,3.483594,504.59744,22.390064
257518,female,control,23,normal,3.33125,459.61514,21.44883
258911,male,control,22.3,abnormal,2.753646,469.48358,19.047573
258917,female,control,21.1,abnormal,3.559375,428.343,14.85753
259057,female,control,18.8,normal,2.957292,546.4746,21.665104
259512,male,control,25.4,abnormal,2.996094,513.96265,22.237877
259575,male,control,21,normal,3.231771,415.8004,18.454823
260402,female,control,21,normal,3.559375,439.28152,13.091444
260482,male,control,21.2,normal,2.983854,485.395,16.468132
260826,female,control,19.1,normal,3.1875,426.91257,16.376017
260855,male,control,23.9,normal,3.808594,413.337,16.686092
261113,female,control,20.7,normal,3.107813,470.0819,19.314981
261152,male,control,20.4,abnormal,2.930729,467.81436,20.362629
261173,female,control,18.4,normal,3.072396,507.0194,17.83036
261724,female,control,18.4,normal,3.036979,462.4016,18.05726
261895,female,control,21.3,normal,3.258333,445.27563,16.552898
263096,female,control,20.1,normal,3.603646,494.81,12.86514
263346,male,control,25.4,abnormal,2.925,492.29828,22.128277
264389,female,control,18.4,normal,3.107813,401.45236,12.131943
264552,male,control,20.8,normal,2.824479,475.34543,17.04131
265732,female,control,20.6,normal,3.747656,431.36917,13.409218
267297,male,control,25.6,abnormal,3.33125,504.59744,24.12629
267605,female,control,16.5,normal,2.913021,501.2922,16.702265
269396,female,control,18.6,normal,3.189062,545.5537,24.417887
271640,male,control,23.2,normal,3.463281,558.0357,17.059246
272081,female,control,21.5,normal,2.55,505.3738,14.756923
272912,female,control,19.7,normal,3.117969,440.3131,17.345575
273824,male,control,22.7,abnormal,2.399479,554.56964,16.735594
275714,male,control,23.1,abnormal,2.541146,460.23563,16.451584
275931,female,control,21.2,normal,3.077344,486.2552,17.841232
278001,male,control,21.7,abnormal,2.803125,441.8262,19.233334
278413,female,control,20.5,normal,2.921875,470.42017,20.700928
279684,male,control,20.1,abnormal,2.496875,472.53024,15.46762
279924,male,control,22.3,normal,2.576563,480.10754,14.876635
279926,female,control,19.2,normal,2.638542,488.27066,15.678942
280170,male,control,23.7,normal,3.382031,480.89767,19.00759
280620,male,control,23,normal,2.921875,498.7476,16.60454
282240,male,control,24.6,normal,3.605469,447.38727,15.70748
282262,male,control,20.9,normal,2.541146,480.31766,19.284128
282548,male,control,24,normal,2.992708,470.47507,21.084633
282550,female,control,19.5,normal,2.390625,483.79294,19.222263
284052,male,control,25.6,normal,3.717188,454.54544,20.1225
285069,female,control,21.6,normal,3.851563,413.82736,9.085403
285969,male,control,20.9,normal,2.647396,493.74588,15.555207
285975,female,control,21.1,normal,3.107813,501.39835,19.676317
287988,female,control,19.3,normal,2.780208,492.29828,21.41848
288690,female,control,21.1,normal,2.55,548.14545,15.99428
289512,female,control,19.6,normal,3.29375,504.4843,14.130676
289519,female,control,18.5,normal,2.479167,450.9018,15.582114
289806,male,control,26.9,normal,2.709375,518.8875,21.358618
290064,male,control,28.4,normal,2.488021,533.70654,19.801165
292543,female,control,20.1,normal,2.44375,504.59744,20.900476
293269,female,control,19.1,normal,2.620833,525.11816,17.72129
293287,male,control,26.7,normal,2.496875,578.5623,23.825912
293754,female,control,19,normal,2.071875,497.7656,17.143217
293763,male,control,21.7,normal,2.638542,548.7269,18.12111
293808,female,control,20.8,normal,2.930729,454.54544,18.666914
294424,male,control,21.9,normal,2.204687,456.28302,17.830177
294430,female,control,17.5,normal,2.647396,470.98227,15.174979
295138,male,control,25.1,normal,2.914844,529.9105,23.237638
295189,female,control,20.4,normal,2.426042,512.8205,19.035822
295199,male,control,24.7,normal,3.49375,529.99164,21.478605
295857,female,control,19.5,normal,3.422656,448.42157,20.246567
296294,female,control,21,normal,3.138281,504.67667,21.081657
296490,female,control,23.6,normal,3.788281,422.41623,10.155375
296493,male,control,26.8,abnormal,4.164063,479.47833,20.697521
296517,female,control,21.4,normal,2.346354,534.7721,21.49603
297000,female,control,20.5,normal,2.408333,502.81577,18.251736
297026,female,control,21.7,normal,3.290625,451.0645,16.397272
297307,male,control,23.2,normal,2.84375,463.9175,20.34417
297677,male,control,28,normal,2.061719,593.4562,20.981789
297865,female,control,20.3,normal,2.479167,554.66534,19.680456
297928,male,control,26.4,normal,3.270313,417.17654,19.242224
298421,male,control,24.2,normal,2.335938,569.9233,24.652328
298462,female,control,21.3,normal,2.364063,471.2042,16.72084
298917,male,control,24.9,normal,2.983854,433.4467,17.276756
298941,female,control,20,normal,2.983854,437.89227,15.195477
298998,male,control,27.9,normal,2.823437,528.07605,24.21544
300697,male,control,22.9,normal,2.853906,500.99084,21.040161
300911,male,control,24.2,normal,2.381771,566.89343,19.830763
301038,female,control,16.5,normal,3.240625,409.4293,8.455128
301067,male,control,26.2,normal,2.178125,553.40344,19.512642
301818,female,control,19.7,normal,2.44375,435.65814,16.08777
301919,male,control,26,normal,3.453125,438.98157,14.125062
301970,female,control,18.7,normal,3.205208,450.72116,13.857486
302018,male,control,21.9,normal,3.019271,471.52017,17.256535
302035,male,control,22.9,normal,2.824479,393.13327,15.907721
302053,male,control,23.4,normal,3.686719,443.5464,10.731085
302237,female,control,22.7,normal,2.955469,439.5991,19.32364
302239,female,control,19.2,normal,2.051563,451.5896,13.765263
302318,female,control,20,normal,2.744792,512.05023,12.893604
303128,male,control,25.4,normal,2.912812,451.60318,18.923613
303151,female,control,19.4,normal,2.539375,597.12585,22.208012
303405,male,control,21.9,normal,2.21,501.87366,18.065395
303574,male,control,25.3,normal,3.33125,430.72507,21.565449
303579,female,control,19.8,normal,3.392187,471.4609,17.020754
303626,female,control,21.1,normal,2.82625,538.078,21.828592
304075,male,control,26,normal,2.896296,451.0826,21.700327
304663,male,control,22.7,normal,2.644687,493.9247,23.160238
304691,male,control,26.4,normal,3.160938,495.14755,19.508095
