sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
K31205,female,control,20.13,normal,155.4,absent
K96329,female,control,20.13,normal,176.9,absent
K57463,female,control,20.13,normal,195.3,absent
C3275,female,control,20.15,normal,171.9,absent
K76398,female,control,20.15,normal,180.9,absent
K10523,female,control,20.15,normal,231.1,absent
K49504,female,control,20.15,normal,248.6,absent
J41087,female,control,20.16,normal,153.9,absent
J33367,female,control,20.16,normal,169.2,absent
K83230,female,control,20.17,normal,122.4,absent
K51274,female,control,20.18,normal,128.2,absent
K13717,female,control,20.19,normal,131.9,absent
J45303,female,control,20.19,normal,193.2,absent
R77860,female,control,20.2,normal,197.3,absent
K8051,female,control,20.2,normal,220.3,absent
C5051,female,control,20.2,normal,275.9,absent
J43587,female,control,20.21,normal,146.3,absent
R39261,female,control,20.21,normal,219.0,absent
X59912,female,control,20.22,normal,164.4,absent
K16272,female,control,20.22,normal,210.5,absent
J31002,female,control,20.22,normal,215.5,absent
K13716,female,control,20.23,normal,206.1,absent
X48626,female,control,20.23,normal,201.2,present
20120726-5,female,control,20.25,normal,130.5,absent
K81882,female,control,20.25,normal,185.2,absent
J15384,female,control,20.25,normal,196.7,absent
K97601,female,control,20.25,normal,206.4,absent
J3397,female,control,20.26,normal,236.5,absent
K101072,female,control,20.27,normal,92.3,absent
C10061,female,control,20.27,normal,191.2,absent
J42480,female,control,20.27,normal,214.4,absent
C6817,female,control,20.28,normal,144.4,absent
XL01749,female,control,20.28,normal,207.9,absent
J16818,female,control,20.28,normal,221.6,absent
C8743,female,control,20.28,normal,236.0,absent
R81343,female,control,20.3,normal,168.2,absent
R94873,female,control,20.3,normal,176.1,absent
X89199,female,control,20.3,normal,210.5,absent
X40911,female,control,20.3,normal,217.5,absent
K3915,female,control,20.31,normal,180.3,absent
K18200,female,control,20.31,normal,204.1,absent
C8984,female,control,20.31,normal,209.6,absent
C10615,female,control,20.32,normal,199.9,absent
X95122,female,control,20.32,normal,314.8,absent
R63030,female,control,20.33,normal,184.2,absent
J27013,female,control,20.33,normal,225.7,absent
K8054,female,control,20.34,normal,180.5,absent
K83229,female,control,20.34,normal,184.7,absent
