sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,vertebrae_morphology,heart_rate_bpm
81Z-86147,female,control,24.6,13.5,normal,153.752,normal,735.0
81Z-86205,male,control,26.4,13.4,normal,122.925,normal,788.0
81Z-86207,male,control,24.6,13.1,normal,160.262,normal,768.0
81Z-86208,female,control,22.4,12.2,normal,157.58167,normal,796.0
81Z-86209,female,control,21.1,13.2,normal,136.711,normal,781.0
81Z-86210,female,control,18.6,14.5,normal,129.24367,normal,797.0
81Z-86211,female,control,21.7,13.6,normal,157.007,normal,649.0
81Z-86212,female,control,22.3,13.5,normal,124.265335,normal,788.0
81Z-86224,male,control,27.6,13.0,normal,148.96533,normal,824.0
81Z-86304,male,control,27.8,13.7,normal,216.74667,normal,719.0
81Z-86306,male,control,28.6,13.3,normal,215.21466,normal,780.0
81Z-86391,male,control,26.0,13.6,normal,229.767,normal,760.0
81Z-86395,female,control,24.3,13.1,normal,238.766,normal,751.0
81Z-86396,male,control,28.4,11.6,normal,231.49,normal,767.0
81Z-86397,male,control,25.5,13.3,normal,221.91634,normal,750.0
81Z-86401,female,control,22.6,14.8,normal,193.19533,normal,760.0
81Z-86402,female,control,22.9,15.2,normal,186.11067,normal,771.0
81Z-86403,female,control,26.5,14.8,normal,233.02167,normal,799.0
81Z-86435,male,control,29.1,13.3,normal,204.49266,normal,781.0
81Z-86437,male,control,29.3,14.9,normal,211.00233,normal,771.0
81Z-86438,male,control,28.6,14.7,normal,190.51466,normal,733.0
81Z-86445,female,control,22.1,13.8,normal,223.44833,normal,697.0
81Z-86447,female,control,22.2,14.0,normal,209.85367,normal,712.0
81Z-86448,female,control,23.2,13.6,normal,205.64133,normal,780.0
81Z-86893,male,control,27.0,13.9,normal,218.85266,normal,773.0
81Z-86894,male,control,28.6,13.8,normal,225.746,normal,761.0
81Z-86895,male,control,26.5,14.1,normal,190.89766,normal,790.0
81Z-86896,male,control,27.1,13.6,normal,222.68266,normal,706.0
81Z-86915,male,control,29.4,13.4,normal,242.021,normal,775.0
81Z-86916,male,control,29.3,13.6,normal,189.55766,normal,719.0
81Z-86917,male,control,30.6,12.2,normal,232.256,normal,747.0
81Z-86969,male,control,28.4,14.1,normal,228.04367,normal,777.0
81Z-86990,male,control,30.7,13.9,normal,178.835,normal,789.0
81Z-86991,male,control,30.3,13.4,normal,218.66167,abnormal,765.0
81Z-86993,female,control,23.3,13.6,normal,209.47067,normal,723.0
81Z-87009,female,control,23.1,13.2,normal,170.79333,normal,678.0
81Z-87010,female,control,21.5,13.9,left eye abnormal,247.95667,normal,609.0
81Z-87011,female,control,22.5,14.0,normal,186.87666,normal,762.0
81Z-87160,female,control,23.1,13.0,normal,184.96233,normal,724.0
81Z-87249,male,control,29.6,13.9,normal,185.91966,normal,746.0
81Z-87251,female,control,23.0,13.7,normal,181.32434,normal,791.0
81Z-87282,male,control,26.4,13.7,normal,169.07,normal,663.0
81Z-87284,female,control,22.8,15.0,normal,187.64267,normal,771.0
81Z-87289,male,control,25.7,13.5,normal,214.25766,normal,782.0
81Z-87343,male,control,23.0,14.1,normal,218.27834,normal,784.0
81Z-87351,male,control,26.1,14.4,normal,184.96233,normal,763.0
81Z-87374,female,control,21.1,13.3,normal,224.78867,normal,737.0
81Z-87375,female,control,22.4,14.1,normal,193.19533,normal,654.0
81Z-87376,female,control,21.6,14.2,normal,206.40733,normal,828.0
81Z-87390,male,control,30.7,13.8,normal,205.45,normal,762.0
81Z-87391,male,control,30.2,13.6,normal,263.466,normal,702.0
81Z-87392,male,control,28.0,13.5,normal,211.194,normal,758.0
81Z-87393,male,control,28.7,13.7,normal,221.53366,normal,763.0
81Z-87397,female,control,20.6,14.3,normal,160.645,normal,745.0
81Z-87398,female,control,21.2,12.1,normal,246.61633,normal,748.0
81Z-87399,female,control,25.2,13.8,normal,205.067,normal,752.0
81Z-87401,female,control,20.7,13.9,normal,192.43,normal,769.0
81Z-87466,female,control,21.3,12.9,normal,143.22133,normal,790.0
81Z-87467,male,control,25.5,13.6,normal,157.19867,normal,789.0
81Z-87468,male,control,30.13,12.8,normal,195.68466,normal,779.0
81Z-87470,male,control,26.5,14.5,normal,201.046,normal,800.0
81Z-87471,male,control,27.5,14.6,normal,199.70534,normal,778.0
81Z-87472,male,control,29.2,14.0,normal,291.61234,normal,784.0
81Z-87473,male,control,24.8,11.3,right eye abnormal,206.40666,normal,554.0
81Z-87474,female,control,24.5,14.4,normal,217.321,normal,721.0
81Z-87475,female,control,23.8,14.5,normal,158.922,normal,752.0
81Z-87476,female,control,21.2,13.1,normal,149.923,normal,700.0
81Z-87477,female,control,22.8,14.4,normal,186.111,normal,682.0
81Z-87478,female,control,23.6,14.9,normal,158.34734,normal,669.0
81Z-87654,male,control,30.1,13.5,normal,199.514,normal,704.0
81Z-87655,male,control,26.3,14.2,normal,213.49167,normal,789.0
81Z-87656,male,control,25.0,13.2,left eye abnormal,178.26033,normal,731.0
81Z-87657,female,control,23.5,13.9,normal,206.024,normal,785.0
81Z-87658,female,control,23.3,13.5,normal,222.87367,normal,773.0
81Z-87659,female,control,23.4,13.7,normal,182.28166,abnormal,797.0
81Z-87660,female,control,23.6,13.9,normal,215.215,abnormal,817.0
81Z-87661,male,control,22.5,13.0,normal,188.02567,normal,726.0
81Z-87662,male,control,23.8,13.8,normal,185.53667,normal,789.0
81Z-87665,female,control,19.3,13.8,normal,219.81033,abnormal,778.0
81Z-87666,female,control,20.9,13.6,normal,212.15134,normal,811.0
81Z-87667,female,control,20.5,14.4,normal,206.216,normal,789.0
81Z-87780,male,control,27.8,13.3,normal,171.942,normal,736.0
81Z-87783,male,control,28.5,13.5,normal,163.13434,normal,764.0
81Z-87786,female,control,24.2,13.4,normal,167.538,normal,803.0
81Z-87787,female,control,21.3,14.6,right eye abnormal,113.73434,normal,775.0
81Z-87798,male,control,27.8,14.5,normal,233.59633,normal,787.0
81Z-87799,male,control,27.1,13.7,normal,198.93933,abnormal,766.0
81Z-87800,male,control,28.0,12.6,normal,228.42633,normal,742.0
81Z-87801,male,control,26.3,12.6,normal,222.491,normal,698.0
81Z-87802,male,control,28.5,13.4,normal,228.80966,normal,723.0
81Z-87803,male,control,27.7,14.2,normal,213.683,abnormal,757.0
81Z-87804,male,control,27.6,13.7,normal,237.42534,normal,794.0
81Z-87805,female,control,22.5,14.6,normal,236.66,normal,747.0
81Z-87806,female,control,24.4,14.4,normal,242.97833,normal,756.0
81Z-87807,female,control,23.5,13.8,normal,236.65967,normal,770.0
81Z-87823,female,control,24.2,12.6,right eye abnormal,216.172,normal,819.0
81Z-87824,female,control,25.1,13.3,normal,247.76534,normal,756.0
81Z-87825,female,control,24.3,13.5,normal,256.95566,normal,738.0
81Z-87826,female,control,21.8,13.8,normal,226.89467,normal,711.0
81Z-87902,male,control,30.1,13.1,normal,211.00233,normal,792.0
81Z-87906,female,control,22.6,14.1,normal,211.76833,normal,765.0
81Z-87907,female,control,22.1,14.3,normal,190.32333,normal,753.0
